Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 26
0 , 75.000000 , 75.000000 , 0
1 , 88.000000 , 75.769234 , 0
2 , 73.000000 , 33.269230 , 0
3 , 63.000000 , 31.461538 , 0
4 , 54.000000 , 28.192308 , 0
5 , 48.000000 , 31.692308 , 0
6 , 54.000000 , 34.500000 , 0
7 , 47.000004 , 35.769230 , 0
8 , 53.000000 , 28.615385 , 0
9 , 54.000000 , 22.500000 , 0
10 , 55.000000 , 25.730770 , 0
11 , 64.000000 , 34.692307 , 0
12 , 58.000000 , 30.653847 , 0
13 , 51.000000 , 33.384617 , 0
14 , 50.000000 , 37.846153 , 0
15 , 56.000000 , 40.884617 , 0
16 , 58.000000 , 44.038460 , 0
17 , 42.000000 , 32.423077 , 0
18 , 38.000000 , 32.923077 , 0
19 , 49.000000 , 35.538460 , 0
20 , 51.000000 , 35.192307 , 0
21 , 48.000000 , 35.653847 , 0
22 , 54.000000 , 42.423077 , 0
23 , 58.000000 , 36.076923 , 0
24 , 72.000000 , 32.423077 , 0
25 , 61.000000 , 33.346153 , 0
26 , 61.000000 , 39.307693 , 0
27 , 64.000000 , 36.230770 , 0
28 , 64.000000 , 47.153847 , 0
29 , 69.000000 , 46.653847 , 0
30 , 69.000000 , 47.307693 , 0
31 , 72.000000 , 44.346153 , 0
32 , 79.000000 , 47.653847 , 0
33 , 73.000000 , 43.923077 , 0
34 , 75.000000 , 47.961540 , 0
35 , 81.000000 , 50.038460 , 0
36 , 88.000000 , 57.000000 , 0
37 , 72.000000 , 50.538460 , 0
38 , 75.000000 , 53.346153 , 0
39 , 63.000000 , 47.615383 , 0
40 , 56.000000 , 41.884617 , 0
41 , 58.000000 , 43.461540 , 0
42 , 56.000000 , 44.038460 , 0
