Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 84.540474 , 9.230611 , 0
2 , 82.988945 , 28.874033 , 0
3 , 75.659599 , 26.403694 , 0
4 , 78.702370 , 30.886559 , 0
5 , 65.625557 , 24.445852 , 0
6 , 57.873562 , 23.648788 , 0
7 , 51.302479 , 25.141712 , 0
8 , 43.307369 , 27.369251 , 0
9 , 49.137283 , 24.670847 , 0
10 , 57.402573 , 30.262817 , 0
11 , 50.473682 , 28.951511 , 0
12 , 48.825714 , 28.319212 , 0
13 , 56.182159 , 24.783579 , 0
14 , 41.274174 , 18.750284 , 0
15 , 45.699448 , 20.757574 , 0
16 , 47.276577 , 24.914740 , 0
17 , 39.017635 , 22.015619 , 0
18 , 44.493164 , 25.313225 , 0
19 , 80.997963 , 23.190205 , 0
20 , 89.959801 , 22.910599 , 0
21 , 71.989090 , 20.916048 , 0
22 , 61.853291 , 17.407246 , 0
23 , 72.042061 , 17.209684 , 0
24 , 81.963684 , 19.708727 , 0
25 , 42.225979 , 19.138426 , 0
26 , 34.753384 , 15.971770 , 0
27 , 29.968025 , 13.085928 , 0
28 , 42.764515 , 13.915134 , 0
29 , 29.886610 , 12.939890 , 0
30 , 31.512787 , 15.997817 , 0
31 , 29.613607 , 10.745133 , 0
32 , 32.160831 , 9.775171 , 0
33 , 29.924784 , 7.549552 , 0
34 , 24.705603 , 7.323072 , 0
35 , 21.012587 , 4.871860 , 0
36 , 12.275028 , 3.903499 , 0
37 , 9.440295 , 3.012469 , 0
38 , 8.349031 , 3.696681 , 0
39 , 8.429030 , 3.654930 , 0
40 , 8.176132 , 2.471925 , 0
41 , 15.011411 , 3.236060 , 0
