Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 25
0 , 0.000000 , 0.000000 , 0
1 , 83.000000 , 62.458332 , 0
2 , 32.000000 , 29.083334 , 0
3 , 25.000000 , 18.583334 , 0
4 , 25.000000 , 17.625000 , 0
5 , 19.000000 , 12.916667 , 0
6 , 73.000000 , 11.916667 , 0
7 , 14.000000 , 6.750000 , 0
8 , 52.000000 , 11.458333 , 0
9 , 55.000000 , 15.666667 , 0
10 , 69.000000 , 37.500000 , 0
11 , 59.000000 , 45.875000 , 0
12 , 55.000000 , 38.208332 , 0
13 , 76.000000 , 34.041668 , 0
14 , 35.000000 , 16.125000 , 0
15 , 35.000000 , 11.250000 , 0
16 , 34.000000 , 14.125000 , 0
17 , 20.000000 , 9.000000 , 0
18 , 27.000000 , 16.291666 , 0
19 , 22.000000 , 15.291667 , 0
20 , 16.000000 , 12.125000 , 0
21 , 8.000000 , 6.083333 , 0
22 , 25.000000 , 9.208333 , 0
23 , 15.000000 , 8.875000 , 0
24 , 8.000000 , 5.625000 , 0
25 , 53.000000 , 7.583333 , 0
26 , 52.000000 , 3.958333 , 0
27 , 15.000000 , 9.625000 , 0
28 , 5.000000 , 3.666667 , 0
29 , 4.000000 , 2.625000 , 0
30 , 5.000000 , 4.375000 , 0
31 , 1.000000 , 0.958333 , 0
32 , 2.000000 , 1.750000 , 0
33 , 3.000000 , 2.708333 , 0
34 , 3.000000 , 1.166667 , 0
35 , 4.000000 , 3.708333 , 0
36 , 4.000000 , 3.666667 , 0
37 , 24.000000 , 3.791667 , 0
38 , 3.000000 , 1.416667 , 0
39 , 3.000000 , 1.125000 , 0
40 , 2.000000 , 1.000000 , 0
41 , 1.000000 , 0.208333 , 0
42 , 84.000000 , 3.666667 , 0
43 , 22.000000 , 4.750000 , 0
44 , 13.000000 , 10.875000 , 0
45 , 8.000000 , 6.875000 , 0
46 , 7.000000 , 6.125000 , 0
47 , 7.000000 , 5.750000 , 0
48 , 4.000000 , 3.791667 , 0
49 , 9.000000 , 4.583333 , 0
50 , 10.000000 , 4.500000 , 0
51 , 9.000000 , 8.041667 , 0
52 , 6.000000 , 5.833333 , 0
53 , 7.000000 , 5.125000 , 0
54 , 6.000000 , 5.166667 , 0
55 , 10.000000 , 8.625000 , 0
56 , 7.000000 , 4.791667 , 0
57 , 42.000000 , 10.000000 , 0
58 , 12.000000 , 10.708333 , 0
59 , 9.000000 , 6.416667 , 0
60 , 11.000000 , 9.250000 , 0
61 , 7.000000 , 3.750000 , 0
62 , 8.000000 , 7.333333 , 0
63 , 82.000000 , 10.625000 , 0
64 , 82.000000 , 20.041666 , 0
65 , 77.000000 , 44.458332 , 0
66 , 78.000000 , 58.958332 , 0
67 , 60.000000 , 59.125000 , 0
68 , 12.000000 , 11.083333 , 0
69 , 14.000000 , 13.166667 , 0
70 , 8.000000 , 7.041667 , 0
71 , 6.000000 , 5.041667 , 0
72 , 7.000000 , 6.958333 , 0
73 , 6.000000 , 5.958333 , 0
74 , 9.000000 , 8.291667 , 0
75 , 9.000000 , 8.791667 , 0
76 , 12.000000 , 11.458333 , 0
77 , 6.000000 , 3.583333 , 0
78 , 6.000000 , 6.000000 , 0
79 , 3.000000 , 2.916667 , 0
80 , 11.000000 , 6.208333 , 0
81 , 10.000000 , 4.333333 , 0
82 , 4.000000 , 3.166667 , 0
83 , 15.000000 , 4.041667 , 0
84 , 16.000000 , 7.458333 , 0
85 , 18.000000 , 14.375000 , 0
86 , 11.000000 , 9.666667 , 0
87 , 7.000000 , 6.958333 , 0
88 , 7.000000 , 6.208333 , 0
89 , 5.000000 , 3.166667 , 0
