Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 58.731380 , 10.016295 , 0
2 , 70.964066 , 32.403336 , 0
3 , 75.739555 , 32.728405 , 0
4 , 90.948639 , 40.350250 , 0
5 , 90.615929 , 37.228031 , 0
6 , 79.166664 , 35.335262 , 0
7 , 57.757565 , 27.463821 , 0
8 , 32.681934 , 18.645597 , 0
9 , 26.829786 , 11.109562 , 0
10 , 25.926558 , 12.226535 , 0
11 , 71.137421 , 19.900293 , 0
12 , 69.259872 , 22.363255 , 0
13 , 62.894943 , 22.559551 , 0
14 , 48.607090 , 25.496943 , 0
15 , 39.987606 , 19.111353 , 0
16 , 28.116646 , 12.048872 , 0
17 , 21.791237 , 10.456712 , 0
18 , 14.141583 , 8.002066 , 0
19 , 20.251390 , 10.949898 , 0
20 , 24.956930 , 9.150263 , 0
21 , 41.896358 , 13.401320 , 0
22 , 46.454922 , 12.862088 , 0
23 , 33.193546 , 13.450872 , 0
24 , 31.013834 , 8.916373 , 0
25 , 26.313471 , 8.527494 , 0
26 , 21.605619 , 6.182147 , 0
27 , 44.865234 , 9.294208 , 0
28 , 45.529461 , 11.775187 , 0
29 , 69.009529 , 13.218515 , 0
30 , 55.867737 , 12.816562 , 0
31 , 45.626556 , 13.521065 , 0
32 , 70.585350 , 13.701269 , 0
33 , 35.444126 , 11.345401 , 0
34 , 71.237846 , 17.310667 , 0
35 , 80.125130 , 19.838469 , 0
36 , 44.999134 , 16.164553 , 0
37 , 43.204098 , 11.562891 , 0
38 , 28.047089 , 11.197640 , 0
39 , 40.135395 , 13.574981 , 0
40 , 44.604031 , 16.064091 , 0
41 , 37.736279 , 17.519012 , 0
42 , 57.122974 , 15.307119 , 0
43 , 36.411663 , 9.700733 , 0
44 , 38.723457 , 10.377289 , 0
45 , 38.612476 , 12.346291 , 0
46 , 34.036667 , 10.640153 , 0
47 , 33.780453 , 10.848891 , 0
48 , 37.546227 , 10.023662 , 0
49 , 41.443790 , 10.409248 , 0
50 , 27.062592 , 11.397708 , 0
51 , 25.955458 , 11.749037 , 0
52 , 27.063202 , 10.831912 , 0
53 , 26.321617 , 11.890567 , 0
54 , 33.291660 , 10.230673 , 0
55 , 30.768976 , 11.044221 , 0
56 , 39.308453 , 12.144227 , 0
57 , 37.943497 , 14.697350 , 0
58 , 58.218960 , 24.364388 , 0
59 , 69.256851 , 30.910217 , 0
60 , 65.433861 , 29.991840 , 0
61 , 71.378738 , 30.664488 , 0
62 , 70.299156 , 31.343206 , 0
63 , 61.731495 , 31.696922 , 0
64 , 58.746296 , 30.572891 , 0
65 , 55.944031 , 28.112633 , 0
66 , 70.214340 , 24.642542 , 0
67 , 27.208389 , 14.058490 , 0
68 , 28.360437 , 6.716400 , 0
69 , 27.399485 , 6.706160 , 0
70 , 54.236515 , 11.525390 , 0
71 , 36.735527 , 13.583937 , 0
72 , 37.689972 , 13.748589 , 0
73 , 53.432827 , 15.109760 , 0
74 , 43.026199 , 14.325021 , 0
75 , 49.179104 , 15.250690 , 0
76 , 28.180725 , 13.030286 , 0
77 , 29.282644 , 11.349510 , 0
78 , 34.078876 , 13.815582 , 0
79 , 42.970531 , 17.907700 , 0
80 , 35.579411 , 17.816225 , 0
81 , 50.265743 , 22.063957 , 0
82 , 54.682796 , 23.841074 , 0
83 , 39.811123 , 20.842085 , 0
84 , 43.595318 , 18.987240 , 0
85 , 35.659367 , 11.044263 , 0
86 , 36.561844 , 17.322628 , 0
87 , 40.656437 , 20.082726 , 0
88 , 38.297497 , 20.270611 , 0
89 , 37.089008 , 18.882582 , 0
90 , 50.116924 , 23.093599 , 0
91 , 39.134193 , 18.469007 , 0
92 , 48.668385 , 14.913221 , 0
93 , 33.561752 , 12.431443 , 0
94 , 28.722700 , 11.784275 , 0
95 , 24.239714 , 12.608691 , 0
96 , 34.011177 , 13.936875 , 0
97 , 37.691517 , 15.269574 , 0
98 , 19.911486 , 9.577997 , 0
99 , 26.846357 , 14.126676 , 0
