Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 593.750000 , 5.937500 , 3
3 , 597.656250 , 92.885567 , 41
4 , 600.000000 , 218.461273 , 104
5 , 600.000000 , 295.808594 , 142
6 , 600.000000 , 294.316101 , 139
7 , 600.000000 , 258.949219 , 123
8 , 600.000000 , 194.332489 , 89
9 , 600.000000 , 295.006470 , 143
10 , 600.000000 , 222.288956 , 103
11 , 600.000000 , 263.435944 , 124
12 , 600.000000 , 260.173340 , 121
13 , 600.000000 , 292.301178 , 140
14 , 600.000000 , 239.339813 , 115
15 , 600.000000 , 114.637901 , 54
16 , 600.000000 , 98.950043 , 43
17 , 600.000000 , 196.631180 , 93
18 , 600.000000 , 167.752945 , 76
19 , 600.000000 , 217.666656 , 101
20 , 600.000000 , 257.904205 , 121
21 , 600.000000 , 346.698761 , 167
22 , 600.000000 , 323.094330 , 156
23 , 600.000000 , 279.436401 , 134
24 , 600.000000 , 281.568268 , 133
25 , 600.000000 , 282.875610 , 132
26 , 600.000000 , 267.244781 , 123
27 , 600.000000 , 226.618301 , 104
28 , 600.000000 , 277.751495 , 132
29 , 600.000000 , 333.461090 , 159
30 , 600.000000 , 270.409637 , 126
31 , 600.000000 , 286.370483 , 133
32 , 600.000000 , 309.923035 , 146
33 , 600.000000 , 304.996002 , 145
34 , 600.000000 , 229.056931 , 105
35 , 600.000000 , 195.355988 , 84
36 , 600.000000 , 185.875366 , 86
37 , 600.000000 , 177.918900 , 83
38 , 600.000000 , 200.210709 , 93
39 , 600.000000 , 238.370514 , 111
40 , 600.000000 , 312.625305 , 150
41 , 600.000000 , 328.601929 , 158
42 , 600.000000 , 252.113312 , 117
43 , 600.000000 , 230.675888 , 109
44 , 600.000000 , 287.038269 , 134
45 , 600.000000 , 325.959442 , 155
