Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0 , 0.000000 , 0.000000 , 0
1 , 595.486145 , 14.200953 , 7
2 , 600.000000 , 157.223251 , 76
3 , 600.000000 , 149.550919 , 69
4 , 600.000000 , 233.356827 , 110
5 , 600.000000 , 239.819565 , 112
6 , 600.000000 , 220.563751 , 103
7 , 600.000000 , 266.877075 , 122
8 , 600.000000 , 218.906647 , 103
9 , 600.000000 , 216.988129 , 103
10 , 600.000000 , 219.527039 , 102
11 , 600.000000 , 193.189438 , 92
12 , 600.000000 , 147.400787 , 69
13 , 600.000000 , 161.113510 , 74
14 , 600.000000 , 311.535431 , 152
15 , 600.000000 , 291.166565 , 138
16 , 600.000000 , 285.215607 , 134
17 , 600.000000 , 130.183990 , 57
