Gen Num , Highest Fitness, Average Fitness, Population Size: 50
0 , 0.000000 , 0.000000 , 0
1 , 4.829549 , 0.323255 , 0
2 , 25.109455 , 7.885871 , 0
3 , 29.499949 , 21.813433 , 0
4 , 29.499949 , 27.437284 , 0
5 , 45.809631 , 25.924904 , 0
6 , 47.727242 , 42.978500 , 0
7 , 56.818146 , 43.232555 , 0
8 , 56.818146 , 47.531918 , 0
9 , 45.809631 , 32.791267 , 0
10 , 47.727242 , 41.735096 , 0
11 , 47.727242 , 39.151115 , 0
12 , 47.727242 , 41.378185 , 0
13 , 47.727242 , 43.078075 , 0
14 , 73.029022 , 39.638741 , 0
15 , 599.960632 , 72.349075 , 1
