Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0,0,0,0
1,598.958374,81.864174,40
2,598.958374,318.898315,158
3,598.958374,371.865967,185
4,598.958374,387.314819,193
5,598.958374,432.387329,215
6,598.958374,453.938538,225
7,598.958374,438.260834,216
8,598.958374,451.115692,224
9,598.958374,424.561066,211
10,599.609375,462.775787,232
11,599.609375,459.197083,230
12,599.609375,381.208832,187
13,599.609375,407.048157,200
14,599.609375,457.456757,228
15,599.609375,423.266998,210
16,599.609375,421.335815,210
17,599.609375,279.358673,132
18,599.609375,384.284882,188
19,599.609375,400.222748,196
20,599.609375,475.722382,236
21,599.609375,468.189575,231
22,599.609375,370.251617,177
23,599.609375,279.210052,130
24,599.609375,371.519043,179
25,599.609375,396.104553,192
26,599.609375,279.779663,129
27,599.609375,341.169678,163
28,599.609375,423.851776,207
29,599.609375,427.430481,209
30,599.609375,181.807205,207
31,587.890625,196.396194,123
32,598.958374,187.802307,103
33,600,368.655487,176
34,600,322.409973,150
35,598.144531,352.521606,168
36,598.144531,241.345444,113
