Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0 , 0.000000 , 0.000000 , 0
1 , 593.750000 , 1.979167 , 1
2 , 593.750000 , 340.615234 , 172
3 , 595.703125 , 472.096771 , 236
4 , 598.632874 , 358.720703 , 181
5 , 598.632874 , 334.378265 , 165
6 , 598.632874 , 343.154297 , 168
7 , 599.707031 , 383.575439 , 190
8 , 595.703125 , 415.143219 , 211
9 , 595.703125 , 418.011078 , 212
10 , 598.632874 , 396.569000 , 201
11 , 598.632874 , 394.625671 , 197
12 , 598.632874 , 320.169312 , 159
13 , 598.632874 , 333.603516 , 167
14 , 598.632874 , 326.178375 , 161
15 , 598.632874 , 307.041016 , 154
16 , 598.632874 , 227.890625 , 114
17 , 598.632874 , 176.813156 , 89
18 , 598.632874 , 203.769531 , 103
