Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 100.000000 , 1.000000 , 1
2 , 100.000000 , 15.000000 , 15
3 , 100.000000 , 21.000000 , 21
4 , 100.000000 , 40.000000 , 40
5 , 100.000000 , 25.000000 , 25
6 , 100.000000 , 50.000000 , 50
7 , 100.000000 , 45.000000 , 45
8 , 100.000000 , 30.000000 , 30
9 , 100.000000 , 25.000000 , 25
10 , 100.000000 , 35.000000 , 35
11 , 100.000000 , 30.000000 , 30
12 , 100.000000 , 45.000000 , 45
13 , 100.000000 , 40.000000 , 40
14 , 100.000000 , 40.000000 , 40
15 , 100.000000 , 88.000000 , 88
16 , 100.000000 , 79.000000 , 79
17 , 100.000000 , 80.000000 , 80
18 , 100.000000 , 80.000000 , 80
19 , 100.000000 , 95.000000 , 95
