Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 0.000000 , 0.000000 , 0
3 , 593.750000 , 1.979167 , 1
4 , 593.750000 , 86.658165 , 36
5 , 596.679688 , 161.740662 , 73
6 , 596.679688 , 115.674156 , 51
7 , 597.656250 , 132.820801 , 60
8 , 599.609375 , 153.993164 , 72
9 , 597.656250 , 231.980133 , 111
10 , 598.958374 , 172.850006 , 80
11 , 600.000000 , 141.415054 , 68
12 , 600.000000 , 235.498077 , 116
13 , 600.000000 , 192.219925 , 93
14 , 600.000000 , 220.729553 , 109
15 , 600.000000 , 242.980164 , 117
16 , 598.958374 , 242.620316 , 115
17 , 598.958374 , 202.011475 , 96
18 , 598.958374 , 132.104385 , 63
19 , 598.958374 , 140.117035 , 66
20 , 598.958374 , 303.496979 , 148
21 , 598.958374 , 357.101288 , 175
22 , 598.958374 , 305.500031 , 146
23 , 598.958374 , 327.001099 , 158
24 , 599.609375 , 346.851349 , 169
25 , 599.609375 , 396.361847 , 194
26 , 598.958374 , 416.358643 , 204
27 , 598.958374 , 329.988342 , 161
28 , 598.958374 , 307.145691 , 147
29 , 598.958374 , 328.715912 , 161
30 , 598.958374 , 265.214294 , 128
