Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 0.000000 , 0.000000 , 0
3 , 0.000000 , 0.000000 , 0
4 , 0.000000 , 0.000000 , 0
5 , 0.000000 , 0.000000 , 0
6 , 0.000000 , 0.000000 , 0
7 , 0.000000 , 0.000000 , 0
8 , 0.000000 , 0.000000 , 0
9 , 0.000000 , 0.000000 , 0
10 , 0.000000 , 0.000000 , 0
11 , 0.000000 , 0.000000 , 0
12 , 0.000000 , 0.000000 , 0
13 , 0.000000 , 0.000000 , 0
14 , 0.000000 , 0.000000 , 0
15 , 0.000000 , 0.000000 , 0
16 , 0.000000 , 0.000000 , 0
17 , 0.000000 , 0.000000 , 0
18 , 0.000000 , 0.000000 , 0
19 , 0.000000 , 0.000000 , 0
20 , 0.000000 , 0.000000 , 0
21 , 0.000000 , 0.000000 , 0
22 , 0.000000 , 0.000000 , 0
23 , 0.000000 , 0.000000 , 0
24 , 0.000000 , 0.000000 , 0
25 , 0.000000 , 0.000000 , 0
26 , 0.000000 , 0.000000 , 0
27 , 27.072630 , 0.667091 , 0
28 , 40.856049 , 21.829578 , 0
29 , 40.856049 , 29.390675 , 0
30 , 40.856049 , 28.636850 , 0
31 , 40.856049 , 32.204742 , 0
32 , 40.856049 , 35.640717 , 0
33 , 40.856049 , 32.478100 , 0
34 , 40.856049 , 31.939045 , 0
35 , 40.856049 , 34.043392 , 0
36 , 40.856049 , 34.190720 , 0
37 , 54.851402 , 35.391495 , 0
38 , 58.207321 , 40.437286 , 0
39 , 58.207321 , 41.040592 , 0
40 , 61.847218 , 30.022669 , 0
41 , 68.047913 , 33.652332 , 0
42 , 68.047913 , 35.851173 , 0
43 , 68.047913 , 39.537384 , 0
44 , 68.047913 , 44.748936 , 0
45 , 68.047913 , 49.226456 , 0
46 , 68.047913 , 51.354176 , 0
47 , 68.047913 , 55.528725 , 0
48 , 68.047913 , 59.566639 , 0
49 , 68.047913 , 61.511707 , 0
50 , 68.047913 , 60.406719 , 0
51 , 69.370476 , 57.892895 , 0
52 , 68.864449 , 62.217899 , 0
53 , 69.068642 , 65.029327 , 0
54 , 75.777451 , 64.053596 , 0
55 , 90.830887 , 69.889458 , 0
56 , 599.625793 , 105.820412 , 6
