Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0,0,0,0
1,1035.083008,6.811739,2
2,1116.558838,78.275238,23
3,1179.083374,243.212845,70
4,1307.259766,494.218475,138
5,1496.701782,257.94577,134
6,1213.510864,215.524628,91
7,1213.378052,217.552872,94
8,1199.945923,156.070801,77
9,1213.376831,175.772354,63
10,1186.560059,117.936066,51
11,1141.692749,76.035843,22
12,1136.639038,54.244526,6
13,100,50.821613,1
14,1155.03418,63.054153,3
15,100,53.363281,3
16,87.890625,56.699219,0
17,87.890625,50.9375,0
18,87.890625,51.796875,0
19,87.890625,55.097656,0
20,87.890625,55.078125,0
