Training Levels:,Resources/level/trainlevels/lvl-4,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 29.335869 , 1.524864 , 0
2 , 47.691811 , 14.837146 , 0
3 , 47.725586 , 23.791075 , 0
4 , 47.725586 , 20.979088 , 0
5 , 57.020283 , 26.763695 , 0
6 , 63.250851 , 21.360760 , 0
7 , 65.904572 , 28.947987 , 0
8 , 65.907410 , 24.590736 , 0
9 , 65.908287 , 24.014650 , 0
10 , 65.908287 , 18.232458 , 0
11 , 65.904572 , 20.850880 , 0
12 , 65.906036 , 18.804571 , 0
13 , 65.906036 , 27.386904 , 0
14 , 65.908745 , 22.484211 , 0
15 , 65.908745 , 26.923443 , 0
16 , 65.908905 , 21.177345 , 0
17 , 65.908905 , 32.565018 , 0
18 , 65.908905 , 30.053551 , 0
19 , 65.909065 , 26.673325 , 0
20 , 65.909065 , 27.567436 , 0
21 , 65.904480 , 32.099541 , 0
22 , 65.909065 , 32.322186 , 0
23 , 65.909065 , 33.431339 , 0
24 , 65.909065 , 28.216896 , 0
25 , 65.908188 , 31.416637 , 0
26 , 65.908348 , 24.297209 , 0
27 , 65.908600 , 32.300560 , 0
28 , 65.908600 , 29.447277 , 0
29 , 65.908813 , 28.677973 , 0
30 , 65.908813 , 28.102018 , 0
31 , 65.909065 , 28.250608 , 0
32 , 65.909065 , 31.012598 , 0
33 , 65.909088 , 29.951014 , 0
34 , 65.909088 , 28.713476 , 0
35 , 65.909088 , 25.675032 , 0
36 , 65.909088 , 22.683289 , 0
37 , 65.909088 , 25.720215 , 0
38 , 65.909088 , 32.466522 , 0
39 , 65.909088 , 29.733000 , 0
40 , 65.907806 , 24.936501 , 0
41 , 65.909088 , 27.825079 , 0
42 , 65.909088 , 29.513079 , 0
43 , 85.246330 , 24.526674 , 0
44 , 88.630936 , 36.210468 , 0
45 , 88.635353 , 39.279747 , 0
46 , 88.635353 , 38.987999 , 0
47 , 88.633972 , 27.825829 , 0
48 , 88.635262 , 40.938046 , 0
49 , 88.635262 , 38.782616 , 0
50 , 88.635262 , 33.605461 , 0
51 , 88.635262 , 36.453075 , 0
52 , 88.635262 , 41.971634 , 0
53 , 88.635262 , 36.909008 , 0
54 , 88.635262 , 32.507790 , 0
55 , 88.635262 , 40.342613 , 0
56 , 88.635262 , 40.569050 , 0
57 , 88.635262 , 32.207085 , 0
58 , 88.635262 , 37.946022 , 0
59 , 88.635262 , 32.834427 , 0
60 , 88.635262 , 39.547993 , 0
61 , 88.635262 , 35.479237 , 0
62 , 88.635262 , 42.934658 , 0
63 , 88.635262 , 36.258385 , 0
64 , 88.635262 , 39.447208 , 0
65 , 88.635262 , 40.096142 , 0
66 , 88.635262 , 41.407940 , 0
67 , 88.635262 , 42.152225 , 0
68 , 88.635262 , 39.633797 , 0
69 , 88.635262 , 38.393166 , 0
70 , 88.635262 , 45.704765 , 0
71 , 88.635262 , 41.089890 , 0
72 , 88.635262 , 44.016003 , 0
73 , 88.635262 , 36.234535 , 0
74 , 88.635262 , 37.974110 , 0
75 , 88.635262 , 36.532921 , 0
76 , 88.635262 , 47.881893 , 0
77 , 88.635262 , 40.149418 , 0
78 , 88.635262 , 30.830992 , 0
79 , 88.635262 , 32.701771 , 0
