Training Levels:,Resources/level/trainlevels/lvl-1,,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
0,0,0,0
1,2.254972,0.488577,0
2,27.368053,2.762344,0
3,34.076015,3.08007,0
4,34.080536,2.393761,0
5,34.090378,2.218049,0
6,34.090378,2.755825,0
7,34.090569,2.694463,0
8,34.090569,2.038466,0
9,34.090569,2.333838,0
10,34.090569,2.328229,0
11,34.090569,1.433467,0
12,34.090569,2.271666,0
13,34.090569,3.193321,0
14,34.090569,1.809198,0
15,34.090569,1.348467,0
16,34.090569,2.648956,0
17,34.090569,1.834954,0
18,34.090603,1.610697,0
19,34.090603,1.822681,0
20,34.090603,2.668826,0
21,34.090603,2.923306,0
22,36.567192,3.233926,0
23,53.72271,3.524862,0
24,56.818176,2.785095,0
25,56.818176,3.389908,0
26,56.818176,3.197354,0
27,56.818176,2.200362,0
28,56.818176,2.6396,0
29,56.818176,3.734997,0
30,70.427605,2.758547,0
31,70.428947,2.431281,0
32,70.427605,3.518657,0
33,70.431953,2.935145,0
34,70.401474,0.704887,0
35,70.405952,6.536813,0
36,70.445915,9.371867,0
37,70.452042,6.009568,0
38,70.452042,9.017378,0
39,70.45372,7.95967,0
40,70.454277,15.737216,0
41,70.454277,10.207001,0
42,70.454277,11.713962,0
43,70.45372,9.800344,0
44,70.454277,11.12704,0
45,70.454277,12.438163,0
46,70.454277,11.76522,0
47,70.454277,13.092849,0
48,70.454277,11.876046,0
49,70.454277,13.950421,0
50,70.454277,11.832083,0
51,70.454277,10.574663,0
52,70.45372,7.726319,0
53,70.454277,10.845722,0
54,70.454277,10.981183,0
55,70.45372,11.551623,0
56,70.454277,12.761077,0
57,70.454277,11.984374,0
58,70.45372,11.517512,0
59,70.454277,9.525416,0
60,70.454277,11.127764,0
61,70.454277,10.849418,0
62,70.454277,9.548619,0
63,70.454277,14.256001,0
64,70.454277,11.813733,0
65,70.454277,10.513101,0
66,70.45372,11.575438,0
67,70.454277,12.239934,0
68,70.454277,12.304276,0
69,70.453857,12.187268,0
70,70.453857,10.948568,0
71,70.453857,10.033768,0
72,70.453857,13.980943,0
73,70.453857,9.371984,0
74,70.453857,11.783671,0
75,70.453857,11.027735,0
76,70.453857,15.473284,0
77,70.453857,11.556275,0
78,70.453857,12.916217,0
79,70.453857,12.760526,0
80,70.453857,9.167751,0
81,70.453857,9.03238,0
82,70.453857,11.117579,0
